sample	taxid	num_reads	rank	name	abundance
RM2_S002__insert_270	354	1074716	species	Azotobacter vinelandii	0.04783325522954524
RM2_S002__insert_270	379	12137	genus	Rhizobium	0.0008192407986102674
RM2_S002__insert_270	382	1174985	species	Sinorhizobium meliloti	0.05229600880222051
RM2_S002__insert_270	466	308549	species	Legionella maceachernii	0.013732840180867276
RM2_S002__insert_270	915	188206	species	Nitrosomonas europaea	0.00837663683590064
RM2_S002__insert_270	1061	1013261	species	Rhodobacter capsulatus	0.04509802778328809
RM2_S002__insert_270	1082	380769	species	Phaeospirillum fulvum	0.016947194198745262
RM2_S002__insert_270	1513	4663	species	Clostridium tetani	0.00020753991671787662
RM2_S002__insert_270	1516	264758	species	Thermoanaerobacter thermohydrosulfuricus	0.011783798685479643
RM2_S002__insert_270	1525	5366220	species	Moorella thermoacetica	0.23883869866819726
RM2_S002__insert_270	1707	2555847	genus	Cellulomonas	0.17251826130062256
RM2_S002__insert_270	1763	117591	genus	Mycobacterium	0.007937327572660456
RM2_S002__insert_270	1817	588404	genus	Nocardia	0.03971694511538896
RM2_S002__insert_270	1827	6850886	genus	Rhodococcus	0.4624310223142375
RM2_S002__insert_270	2030	56973	species	Kibdelosporangium aridum	0.0025357434430983454
RM2_S002__insert_270	2062	596867	family	Streptomycetaceae	0.20483075905162473
RM2_S002__insert_270	2242	823778	species	Halobacterium salinarum	0.03666455447437679
RM2_S002__insert_270	13687	902848	genus	Sphingomonas	0.060941741496554555
RM2_S002__insert_270	28136	1552	species	Prevotella oulorum	6.907612068328212e-05
RM2_S002__insert_270	34038	1271784	species	Rahnella aquatilis	0.056604320275172204
RM2_S002__insert_270	35623	113816	species	Acholeplasma oculi	0.005065700870933271
RM2_S002__insert_270	39498	69572	species	[Eubacterium] yurii	0.003096497337743108
RM2_S002__insert_270	53458	1098784	species	Janibacter limosus	0.04890446919385274
RM2_S002__insert_270	59732	40065	genus	Chryseobacterium	0.0027043653782912055
RM2_S002__insert_270	68170	39408	species	Lechevalieria aerocolonigenes	0.0017539637653909675
RM2_S002__insert_270	69278	47615	genus	Aquamicrobium	0.0032139862095928056
RM2_S002__insert_270	80864	1251621	family	Comamonadaceae	0.4295269791678106
RM2_S002__insert_270	82367	302642	species	Paracoccus pantotrophus	0.01346993254885945
RM2_S002__insert_270	84567	371599	genus	Pedobacter	0.025082727323290494
RM2_S002__insert_270	85023	733845	family	Microbacteriaceae	0.25183839678896563
RM2_S002__insert_270	85413	454037	genus	Bosea	0.030647246805521132
RM2_S002__insert_270	92511	83559	species	Curtobacterium sp. B20	0.0037190280722773006
RM2_S002__insert_270	103732	307769	species	Lechevalieria flava	0.013698124089286761
RM2_S002__insert_270	121821	30295	species	Roseinatronobacter thiooxidans	0.001348364095425278
RM2_S002__insert_270	162491	2413941	genus	Oerskovia	0.16293968465337955
RM2_S002__insert_270	169973	281319	species	uncultured Massilia sp.	0.012520892522229536
RM2_S002__insert_270	255475	331619	family	Aurantimonadaceae	0.11380386499159904
RM2_S002__insert_270	257003	437228	species	Sphingomonas phyllosphaerae	0.019460060627648244
RM2_S002__insert_270	299255	2430586	species	Ferrimonas marina	0.10818005919271646
RM2_S002__insert_270	311234	17948	species	Cellulomonas terrae	0.0007988261688296052
RM2_S002__insert_270	367298	272213	genus	Phycicoccus	0.018374227198821515
RM2_S002__insert_270	393921	83455	species	Porphyromonas crevioricanis	0.003714399260066565
RM2_S002__insert_270	441209	28613	species	Rhodobaca barguzinensis	0.0012735019594785767
RM2_S002__insert_270	454586	3104	species	Pedobacter agri	0.00013815224136656424
RM2_S002__insert_270	460257	134023	species	Aeromicrobium ponti	0.005965070181917216
RM2_S002__insert_270	561061	46649	species	Sphingobacterium psychroaquaticum	0.00207624481556342
RM2_S002__insert_270	570520	992177	species	Formosa spongicola	0.044159625123180925
RM2_S002__insert_270	629679	54584	species	Promicromonospora umidemergens	0.002429414285680587
RM2_S002__insert_270	639310	1097701	species	Olleya aquimaris	0.04885626723592749
RM2_S002__insert_270	688867	100983	species	Ohtaekwangia koreensis	0.004494532148814354
RM2_S002__insert_270	688913	60951	species	Ohtaekwangia kribbensis	0.002712795510158974
RM2_S002__insert_270	745369	525875	species	Acetoanaerobium noterae	0.023405544435773827
RM2_S002__insert_270	759851	99844	species	Sporosarcina newyorkensis	0.0044438377535448575
RM2_S002__insert_270	1143711	52386	species	Paenibacillus frigoriresistens	0.002331586119919083
RM2_S002__insert_270	1513896	12441	species	Sphingobacterium nematocida	0.0005537216607092221
RH_S001__insert_270	68	431597	genus	Lysobacter	0.019876332980813035
RH_S001__insert_270	75	429179	genus	Caulobacter	0.019764976847319045
RH_S001__insert_270	237	646035	genus	Flavobacterium	0.02975184437625736
RH_S001__insert_270	286	1312001	genus	Pseudomonas	0.06042157092648856
RH_S001__insert_270	338	64516	genus	Xanthomonas	0.002971154800867786
RH_S001__insert_270	374	38855	genus	Bradyrhizobium	0.0017893889854875972
RH_S001__insert_270	379	1247854	genus	Rhizobium	0.05746740967949144
RH_S001__insert_270	407	2818463	genus	Methylobacterium	0.1297986526368377
RH_S001__insert_270	469	397943	genus	Acinetobacter	0.018326465604218013
RH_S001__insert_270	506	182557	family	Alcaligenaceae	0.0985122017158975
RH_S001__insert_270	543	67254	family	Enterobacteriaceae	0.036291895759685854
RH_S001__insert_270	876	276728	species	Desulfovibrio desulfuricans	0.015719143963076304
RH_S001__insert_270	990	35733	species	Cytophaga xylanolytica	0.002029762695616654
RH_S001__insert_270	1004	38933	species	Chitinophaga sancti	0.0022115341848835306
RH_S001__insert_270	1028	10615	species	Marivirga sericea	0.0006029701120524666
RH_S001__insert_270	1080	10593	species	Afifella marina	0.0006017204330637568
RH_S001__insert_270	1386	634227	genus	Bacillus	0.02920805065239589
RH_S001__insert_270	1663	1240947	genus	Arthrobacter	0.05714932166706671
RH_S001__insert_270	1763	436643	genus	Mycobacterium	0.020108716376020096
RH_S001__insert_270	1827	200260	genus	Rhodococcus	0.009222572081681797
RH_S001__insert_270	1839	259543	genus	Nocardioides	0.011952731577928385
RH_S001__insert_270	1843	219492	species	Nocardioides jensenii	0.012467933663176636
RH_S001__insert_270	1883	573534	genus	Streptomyces	0.0264129564381069
RH_S001__insert_270	1933	118493	species	Streptoalloteichus tenebrarius	0.006730827836781245
RH_S001__insert_270	2034	10702	genus	Curtobacterium	0.0004928591152409796
RH_S001__insert_270	2040	182650	genus	Aeromicrobium	0.008411578901024569
RH_S001__insert_270	2063	81845	genus	Kitasatospora	0.0037692070909080525
RH_S001__insert_270	2242	65404	species	Halobacterium salinarum	0.0037151820262533697
RH_S001__insert_270	12916	160356	genus	Acidovorax	0.007384873508090313
RH_S001__insert_270	13687	1832044	genus	Sphingomonas	0.08437110679522943
RH_S001__insert_270	28122	6477	species	Fibrobacter intestinalis	0.000367916854994237
RH_S001__insert_270	28898	11107	species	Campylobacter helveticus	0.0006309174785272488
RH_S001__insert_270	29524	38479	species	Porphyromonas circumdentaria	0.0021857453548437926
RH_S001__insert_270	29580	167096	genus	Janthinobacterium	0.007695270670931296
RH_S001__insert_270	31988	19463	genus	Aminobacter	0.0008963293739427385
RH_S001__insert_270	32033	27677	family	Xanthomonadaceae	0.01493518302169128
RH_S001__insert_270	33877	325365	genus	Agromyces	0.014984031585720552
RH_S001__insert_270	33882	492070	genus	Microbacterium	0.02266129553696775
RH_S001__insert_270	33886	217116	genus	Rathayibacter	0.009998841306733371
RH_S001__insert_270	33922	16862	species	Mycoplasma agassizii	0.0009578221412556468
RH_S001__insert_270	34072	38703	genus	Variovorax	0.0017823889307766432
RH_S001__insert_270	36874	6144	species	Porphyromonas cangingivalis	0.0003490012593924027
RH_S001__insert_270	40323	193633	genus	Stenotrophomonas	0.008917378906882508
RH_S001__insert_270	40571	75483	species	Lentzea albidocapillata	0.004287705413853635
RH_S001__insert_270	41275	94540	genus	Brevundimonas	0.004353849818247263
RH_S001__insert_270	41985	50316	species	Agromyces fucosus	0.0028581294543600475
RH_S001__insert_270	42197	632850	species	Actinosynnema pretiosum	0.0359481521820446
RH_S001__insert_270	42322	15118	species	Eubacterium ruminantium	0.0008587566796051992
RH_S001__insert_270	44249	195510	genus	Paenibacillus	0.009003820371964486
RH_S001__insert_270	46913	583578	genus	Devosia	0.02687551268492809
RH_S001__insert_270	48464	45787	species	Prosthecobacter fusiformis	0.0026008659934570215
RH_S001__insert_270	48467	448136	species	Prosthecobacter debontii	0.025455733785656538
RH_S001__insert_270	49280	383649	species	Gelidibacter algens	0.021792640651796206
RH_S001__insert_270	53254	59377	species	Bosea thiooxidans	0.0033728267869372872
RH_S001__insert_270	53335	84926	genus	Pantoea	0.003911096357779428
RH_S001__insert_270	53355	36425	genus	Terrabacter	0.0016774802160953732
RH_S001__insert_270	55080	43558	genus	Brevibacillus	0.002005976204603494
RH_S001__insert_270	57028	31122	species	Algoriphagus ratkowskyi	0.0017678413403011647
RH_S001__insert_270	59732	60873	genus	Chryseobacterium	0.0028033837527624886
RH_S001__insert_270	60919	66835	genus	Sanguibacter	0.0030779516882013525
RH_S001__insert_270	64969	114608	species	Oceanospirillum multiglobuliferum	0.006510145888093178
RH_S001__insert_270	68287	1043565	genus	Mesorhizobium	0.04805929009497785
RH_S001__insert_270	72806	212743	species	Williamsia maris	0.012084566231594714
RH_S001__insert_270	75309	329714	genus	Rhodanobacter	0.015184316045838569
RH_S001__insert_270	75654	157386	genus	Duganella	0.0072480961232775955
RH_S001__insert_270	76595	63702	species	Cellulophaga fucicola	0.00361850231539955
RH_S001__insert_270	80864	1243861	family	Comamonadaceae	0.6712176785252714
RH_S001__insert_270	83618	8815	genus	Pseudoxanthomonas	0.0004059571202438082
RH_S001__insert_270	85023	289136	family	Microbacteriaceae	0.15602482487840916
RH_S001__insert_270	85413	1070509	genus	Bosea	0.04930014189847747
RH_S001__insert_270	86796	47877	species	Marmoricola aurantiacus	0.00271958549738445
RH_S001__insert_270	91360	87333	species	Desulforhopalus singaporensis	0.004960827960045036
RH_S001__insert_270	92487	30355	species	Thiothrix eikelboomii	0.0017242729864675103
RH_S001__insert_270	96492	568197	genus	Frigoribacterium	0.02616717162236768
RH_S001__insert_270	103728	53102	species	Actinokineospora diospyrosa	0.003016384257203022
RH_S001__insert_270	103729	75806	species	Actinokineospora globicatena	0.00430605297355151
RH_S001__insert_270	104662	35534	species	Chitinophaga japonensis	0.0020184587811278706
RH_S001__insert_270	106591	1379033	genus	Ensifer	0.06350859505401923
RH_S001__insert_270	110932	648649	genus	Leifsonia	0.029872226896089163
RH_S001__insert_270	114707	36930	species	uncultured Pseudomonas sp.	0.002097756593320545
RH_S001__insert_270	115783	30631	species	Geobacter thiogenes	0.0017399507774167784
RH_S001__insert_270	116849	25222	species	Azomonas agilis	0.0014327001569653614
RH_S001__insert_270	129578	20726	species	Oceanimonas baumannii	0.0011773112145454
RH_S001__insert_270	130788	21224	species	Sedimentibacter saalensis	0.0012055994025625576
RH_S001__insert_270	136099	45191	genus	Knoellia	0.002081180739754729
RH_S001__insert_270	142842	29113	species	Selenihalanaerobacter shriftii	0.001653722927195804
RH_S001__insert_270	143223	108097	species	Salegentibacter salegens	0.00614029771102548
RH_S001__insert_270	149698	253489	genus	Massilia	0.011673926767269733
RH_S001__insert_270	158751	115409	species	uncultured Acidovorax sp.	0.006555645564000293
RH_S001__insert_270	158754	28688	species	uncultured Sphingomonas sp.	0.0016295814012775467
RH_S001__insert_270	160236	43644	species	uncultured Herbaspirillum sp.	0.00247913589923861
RH_S001__insert_270	160791	384486	species	Sphingomonas wittichii	0.021840185256957575
RH_S001__insert_270	165695	23309	genus	Sphingobium	0.0010734491793264805
RH_S001__insert_270	165697	115207	genus	Sphingopyxis	0.0053056269939794004
RH_S001__insert_270	170623	359042	species	Azotobacter beijerinckii	0.020394874702924323
RH_S001__insert_270	171291	20020	species	Mycoplasma verecundum	0.0011372078797258953
RH_S001__insert_270	172045	109854	species	Elizabethkingia miricola	0.006240101619351074
RH_S001__insert_270	174951	37529	genus	Ramlibacter	0.001728322718732828
RH_S001__insert_270	176898	22253	species	Prauserella alba	0.0012640502970799375
RH_S001__insert_270	180163	5322	species	Cetobacterium ceti	0.0003023087080869738
RH_S001__insert_270	182367	43798	species	Rhizobium sp. DCP1	0.0024878836521595787
RH_S001__insert_270	185641	50610	species	Prauserella halophila	0.002874829709936442
RH_S001__insert_270	188872	26053	species	Arenibacter troitsensis	0.0014799039405843533
RH_S001__insert_270	188932	347053	species	Pedobacter cryoconitis	0.01971385645766789
RH_S001__insert_270	190323	83679	genus	Plantibacter	0.003853668277354694
RH_S001__insert_270	191564	46422	species	Nonlabens xylanidelens	0.0026369362733584174
RH_S001__insert_270	196587	74975	species	Albidovulum inexpectatum	0.004258849189932518
RH_S001__insert_270	198092	127415	species	Roseomonas rosea	0.007237629470293455
RH_S001__insert_270	198312	46014	species	Porphyrobacter sanguineus	0.002613760408476891
RH_S001__insert_270	213248	74555	species	Mesonia algae	0.00423499168196624
RH_S001__insert_270	213588	14820	species	Thermomonas hydrothermalis	0.0008418292096672213
RH_S001__insert_270	223904	15708	species	Nocardioides sp. NS/27	0.0008922707979387795
RH_S001__insert_270	225004	66283	species	Treponema berlinense	0.0037651123822113647
RH_S001__insert_270	227322	387229	species	uncultured Paenibacillus sp.	0.021995997505413523
RH_S001__insert_270	237019	87266	species	Algoriphagus chordae	0.004957022119488511
RH_S001__insert_270	241145	26941	species	Salegentibacter holothuriorum	0.0015303455288559116
RH_S001__insert_270	244584	4892	species	Mycoplasma testudineum	0.0002778831642167373
RH_S001__insert_270	245876	126432	genus	Nitratireductor	0.005822571823785044
RH_S001__insert_270	255475	42656	family	Aurantimonadaceae	0.02301821609904481
RH_S001__insert_270	261392	94580	species	Treponema porcinum	0.005372483579644116
RH_S001__insert_270	263852	26319	species	Pilibacter termitis	0.0014950136956296625
RH_S001__insert_270	266809	55968	species	Thalassobacter stenotrophicus	0.003179183347277668
RH_S001__insert_270	270918	11689	species	Salegentibacter mishustinae	0.0006639771681376619
RH_S001__insert_270	279824	143057	species	Algoriphagus alkaliphilus	0.008126151231266105
RH_S001__insert_270	291403	148187	species	Algoriphagus yeomjeoni	0.008417553649997066
RH_S001__insert_270	292407	138891	species	Dyadobacter crusticola	0.007889507473676791
RH_S001__insert_270	293890	400403	species	Agromyces subbeticus	0.022744328005289097
RH_S001__insert_270	321325	6443	species	Williamsia deligens	0.00036598553292077645
RH_S001__insert_270	330227	4840	species	Microbacterium sp. Bt 07	0.00027492937751615054
RH_S001__insert_270	331697	33290	species	Chitinophaga skermanii	0.0018909915242794734
RH_S001__insert_270	334858	399746	species	Goodfellowiella coeruleoviolacea	0.02270700804639899
RH_S001__insert_270	349095	52439	species	Megasphaera paucivorans	0.002978723476770541
RH_S001__insert_270	349273	71841	species	uncultured Phenylobacterium sp.	0.004080826737631771
RH_S001__insert_270	351343	18924	species	Pedobacter aquatilis	0.0010749511446519902
RH_S001__insert_270	355930	38726	species	Yonghaparkia alkaliphila	0.00219977584167158
RH_S001__insert_270	361177	18953	genus	Altererythrobacter	0.0008728423482678272
RH_S001__insert_270	366349	142432	species	Rhizobium sp. CHNTR26	0.008090648987268668
RH_S001__insert_270	387889	138219	species	Prauserella salsuginis	0.007851335460930746
RH_S001__insert_270	387890	104829	species	Prauserella aidingensis	0.005954663577611683
RH_S001__insert_270	391736	98656	species	Williamsia serinedens	0.005604015014097799
RH_S001__insert_270	393003	53453	species	Chitinophaga ginsengisegetis	0.0030363223174319823
RH_S001__insert_270	402884	42175	species	Gemmobacter changlensis	0.0023956914249470347
RH_S001__insert_270	414371	39957	genus	Aureimonas	0.001840139382142013
RH_S001__insert_270	424797	337806	species	Nocardioides terrigena	0.019188593657277014
RH_S001__insert_270	428988	60778	species	Flavobacterium lindanitolerans	0.0034524086170819417
RH_S001__insert_270	429344	94252	species	Maribacter polysiphoniae	0.005353852001994261
RH_S001__insert_270	435906	458420	species	Salegentibacter salarius	0.02603990190928796
RH_S001__insert_270	438851	278998	species	Lentzea californiensis	0.015848088113274993
RH_S001__insert_270	440515	9296	species	Arenibacter echinorum	0.0005280461763202759
RH_S001__insert_270	443157	283878	species	Nocardioides hankookensis	0.01612528963440698
RH_S001__insert_270	447422	55426	species	Salegentibacter salinarum	0.0031483958012830907
RH_S001__insert_270	454048	40008	species	Bacillus sp. M5-3	0.0022725980445591223
RH_S001__insert_270	468058	90511	species	Mucilaginibacter oryzae	0.005141349770323203
RH_S001__insert_270	490570	180774	species	Phycicoccus ginsenosidimutans	0.010268612250228223
RH_S001__insert_270	504486	50788	species	Cellulophaga tyrosinoxydans	0.002884940749026912
RH_S001__insert_270	509094	14094	species	Brevundimonas sp. HINF004	0.0008005898030397987
RH_S001__insert_270	526729	8419	species	Promicromonospora flava	0.0004782294275430726
RH_S001__insert_270	554335	178772	species	Rhizobium sp. CpLB236	0.010154891462255632
RH_S001__insert_270	561088	25798	species	Aquamicrobium aerolatum	0.001465419025033399
RH_S001__insert_270	561184	501836	species	Mameliella alba	0.028506086589916307
RH_S001__insert_270	561365	41934	species	Maribacter arcticus	0.0023820017596616234
RH_S001__insert_270	563996	23000	species	Sphingomonas hankookensis	0.001306482579105674
RH_S001__insert_270	568105	62720	species	Hwanghaeicola aestuarii	0.0035627211896307773
RH_S001__insert_270	572036	102793	species	Pedobacter luteus	0.005839011467565633
RH_S001__insert_270	575302	61254	species	Burkholderia sp. IMER-A1-17	0.0034794471261103896
RH_S001__insert_270	576117	94099	species	Celeribacter halophilus	0.005345161052663688
RH_S001__insert_270	577679	119738	species	Prauserella flava	0.006801548306824139
RH_S001__insert_270	591202	77881	species	Arcicella aurantiaca	0.004423920423623
RH_S001__insert_270	619730	149585	species	Terrabacter carboxydivorans	0.008496965069370532
RH_S001__insert_270	619805	88735	species	Soonwooa buanensis	0.005040466593780086
RH_S001__insert_270	623280	12132	species	Parapedobacter luteus	0.0006891411586830451
RH_S001__insert_270	643671	243709	species	Larkinella arboricola	0.013843546211794119
RH_S001__insert_270	651661	292522	species	Dyadobacter psychrophilus	0.01661629986978913
RH_S001__insert_270	654838	3458	species	Fontibacter flavus	0.0001964268155890183
RH_S001__insert_270	684063	600599	species	Paenibacillus algorifonticola	0.03411617958818647
RH_S001__insert_270	696762	20360	species	Planktotalea frisia	0.001156521100460501
RH_S001__insert_270	745368	30239	species	Gemmiger formicilis	0.0017176837699815859
RH_S001__insert_270	747294	63170	genus	Pseudorhodoferax	0.0029091674742826278
RH_S001__insert_270	756689	245824	species	Nocardia amikacinitolerans	0.013963685805481444
RH_S001__insert_270	765201	296919	species	Promicromonospora thailandica	0.016866065256759898
RH_S001__insert_270	875239	110875	species	Modestobacter sp. R-36506	0.006298098085145288
RH_S001__insert_270	889453	16866	species	Alkalitalea saponilacus	0.0009580493556172304
RH_S001__insert_270	906888	109504	species	Nonlabens ulvanivorans	0.0062202203627125105
RH_S001__insert_270	908626	82447	genus	Angustibacter	0.003796930991802752
RH_S001__insert_270	1037355	113617	species	Parabacteroides chartae	0.006453853530010842
RH_S001__insert_270	1071583	126738	species	Microbacterium sp. C23(2011)	0.007199173439595431
RH_S001__insert_270	1150508	76481	species	Leifsonia sp. MN6-25	0.004344395397068742
RH_S001__insert_270	1167741	919307	species	Pelomonas sp. JGI 001013-K11	0.0522199382760826
RH_S001__insert_270	1172533	218713	species	Rhodococcus sp. I_48-J6PC12A	0.01242368366625823
RH_S001__insert_270	1189325	12319	species	Oceanicella actignis	0.0006997634300870782
RH_S001__insert_270	1243042	72737	species	Paenibacillus sp. AMB_13	0.004131722754626496
RH_S001__insert_270	1255265	116336	species	Nitrobacter sp. NS5-5	0.006608302492297291
RH_S001__insert_270	1256701	527413	species	Rhizobium sp. BA-57-09	0.02995895202147221
RH_S001__insert_270	1259470	727908	species	Nocardioides sp. RHLT1-14	0.04134778787789795
RH_S001__insert_270	1278652	73392	species	Chryseobacterium sp. T85L.09.P.BNT.GC.H.Gill.D.M	0.00416892910633581
RH_S001__insert_270	1294566	13882	species	Devosia sp. R41	0.0007885474418758682
RH_S001__insert_270	1387244	140360	species	Rhizobium sp. Ia8	0.007972951947968366
RH_S001__insert_270	1456769	233245	species	Phycicoccus sp. THG-a14	0.013249153441891433
RH_S002__insert_270	68	535519	genus	Lysobacter	0.025329313139279365
RH_S002__insert_270	75	374701	genus	Caulobacter	0.017722842630422297
RH_S002__insert_270	237	388307	genus	Flavobacterium	0.018366387741936614
RH_S002__insert_270	286	1428387	genus	Pseudomonas	0.06756074314277521
RH_S002__insert_270	338	70316	genus	Xanthomonas	0.003325850217642265
RH_S002__insert_270	374	40243	genus	Bradyrhizobium	0.0019034386243326933
RH_S002__insert_270	379	1323517	genus	Rhizobium	0.06260053618668919
RH_S002__insert_270	407	2428368	genus	Methylobacterium	0.11485847092149029
RH_S002__insert_270	469	292313	genus	Acinetobacter	0.013826003394244031
RH_S002__insert_270	506	424876	family	Alcaligenaceae	0.21406273616751142
RH_S002__insert_270	543	84902	family	Enterobacteriaceae	0.042775667314920246
RH_S002__insert_270	876	1009626	species	Desulfovibrio desulfuricans	0.05832423244172998
RH_S002__insert_270	990	34317	species	Cytophaga xylanolytica	0.0019824298153007626
RH_S002__insert_270	1004	87207	species	Chitinophaga sancti	0.0050377875951549845
RH_S002__insert_270	1028	173697	species	Marivirga sericea	0.010034155422335768
RH_S002__insert_270	1080	19892	species	Afifella marina	0.001149124162542261
RH_S002__insert_270	1386	1190426	genus	Bacillus	0.056305514693483855
RH_S002__insert_270	1663	865512	genus	Arthrobacter	0.040937528778258035
RH_S002__insert_270	1763	280288	genus	Mycobacterium	0.013257237411151304
RH_S002__insert_270	1827	113784	genus	Rhodococcus	0.00538182691228465
RH_S002__insert_270	1839	212274	genus	Nocardioides	0.010040268631602966
RH_S002__insert_270	1843	433417	species	Nocardioides jensenii	0.02503770094292073
